"opt/step","C4H4-new-1-6.0-1-106192 - _step","C4H4-new-1-6.0-1-106192 - _step__MIN","C4H4-new-1-6.0-1-106192 - _step__MAX","C4H4-new-1-6.0-1-106192 - opt/E_smooth","C4H4-new-1-6.0-1-106192 - opt/E_smooth__MIN","C4H4-new-1-6.0-1-106192 - opt/E_smooth__MAX","C4H4-new-1-3.0-8-106026 - _step","C4H4-new-1-3.0-8-106026 - _step__MIN","C4H4-new-1-3.0-8-106026 - _step__MAX","C4H4-new-1-3.0-8-106026 - opt/E_smooth","C4H4-new-1-3.0-8-106026 - opt/E_smooth__MIN","C4H4-new-1-3.0-8-106026 - opt/E_smooth__MAX","C4H4-new-1-6.0-9-106026 - _step","C4H4-new-1-6.0-9-106026 - _step__MIN","C4H4-new-1-6.0-9-106026 - _step__MAX","C4H4-new-1-6.0-9-106026 - opt/E_smooth","C4H4-new-1-6.0-9-106026 - opt/E_smooth__MIN","C4H4-new-1-6.0-9-106026 - opt/E_smooth__MAX","C4H4-moon-2-5.0-3-104963 - _step","C4H4-moon-2-5.0-3-104963 - _step__MIN","C4H4-moon-2-5.0-3-104963 - _step__MAX","C4H4-moon-2-5.0-3-104963 - opt/E_smooth","C4H4-moon-2-5.0-3-104963 - opt/E_smooth__MIN","C4H4-moon-2-5.0-3-104963 - opt/E_smooth__MAX"
"31","1531","1531","1531","-147.9615732828776","-147.9615732828776","-147.9615732828776","1531","1531","1531","-149.52856953938803","-149.52856953938803","-149.52856953938803","1531","1531","1531","-150.04956563313803","-150.04956563313803","-150.04956563313803","1531","1531","1531","-151.4497273763021","-151.4497273763021","-151.4497273763021"
"32","1532","1532","1532","-147.95137532552084","-147.95137532552084","-147.95137532552084","1532","1532","1532","-149.60008239746094","-149.60008239746094","-149.60008239746094","1532","1532","1532","-150.10572306315103","-150.10572306315103","-150.10572306315103","1532","1532","1532","-151.4592539469401","-151.4592539469401","-151.4592539469401"
"33","1533","1533","1533","-148.0207265218099","-148.0207265218099","-148.0207265218099","1533","1533","1533","-149.6365509033203","-149.6365509033203","-149.6365509033203","1533","1533","1533","-150.07437642415366","-150.07437642415366","-150.07437642415366","1533","1533","1533","-151.44734700520834","-151.44734700520834","-151.44734700520834"
"34","1534","1534","1534","-148.17037455240884","-148.17037455240884","-148.17037455240884","1534","1534","1534","-149.69369506835938","-149.69369506835938","-149.69369506835938","1534","1534","1534","-149.98137410481772","-149.98137410481772","-149.98137410481772","1534","1534","1534","-151.4988759358724","-151.4988759358724","-151.4988759358724"
"35","1535","1535","1535","-148.30646769205728","-148.30646769205728","-148.30646769205728","1535","1535","1535","-149.7605997721354","-149.7605997721354","-149.7605997721354","1535","1535","1535","-150.02090962727866","-150.02090962727866","-150.02090962727866","1535","1535","1535","-151.60103861490884","-151.60103861490884","-151.60103861490884"
"36","1536","1536","1536","-148.40862528483072","-148.40862528483072","-148.40862528483072","1536","1536","1536","-149.83078002929688","-149.83078002929688","-149.83078002929688","1536","1536","1536","-150.05816650390625","-150.05816650390625","-150.05816650390625","1536","1536","1536","-151.70138041178384","-151.70138041178384","-151.70138041178384"
"37","1537","1537","1537","-148.28988138834634","-148.28988138834634","-148.28988138834634","1537","1537","1537","-149.85118611653647","-149.85118611653647","-149.85118611653647","1537","1537","1537","-150.1774444580078","-150.1774444580078","-150.1774444580078","1537","1537","1537","-151.7565663655599","-151.7565663655599","-151.7565663655599"
"38","1538","1538","1538","-148.21229044596353","-148.21229044596353","-148.21229044596353","1538","1538","1538","-149.88050333658853","-149.88050333658853","-149.88050333658853","1538","1538","1538","-150.12140401204428","-150.12140401204428","-150.12140401204428","1538","1538","1538","-151.78235880533853","-151.78235880533853","-151.78235880533853"
"39","1539","1539","1539","-148.18224589029947","-148.18224589029947","-148.18224589029947","1539","1539","1539","-149.87369283040366","-149.87369283040366","-149.87369283040366","1539","1539","1539","-150.09384155273438","-150.09384155273438","-150.09384155273438","1539","1539","1539","-151.82518005371094","-151.82518005371094","-151.82518005371094"
"40","1540","1540","1540","-148.13039779663086","-148.13039779663086","-148.13039779663086","1540","1540","1540","-149.8847312927246","-149.8847312927246","-149.8847312927246","1540","1540","1540","-150.01818084716797","-150.01818084716797","-150.01818084716797","1540","1540","1540","-151.78704071044922","-151.78704071044922","-151.78704071044922"
