"Step","07-02_cumulene_C4H4_0deg_13b1974852bbdb41a3edc82b988422bf_5 - opt/E_smooth","07-02_cumulene_C4H4_0deg_13b1974852bbdb41a3edc82b988422bf_5 - opt/E_smooth__MIN","07-02_cumulene_C4H4_0deg_13b1974852bbdb41a3edc82b988422bf_5 - opt/E_smooth__MAX"
"1237","-152.1750769981971","-152.1750769981971","-152.1750769981971"
"1239","-152.204344529372","-152.204344529372","-152.204344529372"
"1241","-152.22705841064453","-152.22705841064453","-152.22705841064453"
"1244","-152.28672354561942","-152.28672354561942","-152.28672354561942"
"1246","-152.2931398664202","-152.2931398664202","-152.2931398664202"
"1250","-152.37014567057292","-152.37014567057292","-152.37014567057292"
"1251","-152.38565063476562","-152.38565063476562","-152.38565063476562"
"1253","-152.4175272623698","-152.4175272623698","-152.4175272623698"
"1254","-152.4429168701172","-152.4429168701172","-152.4429168701172"
"1255","-152.45975748697916","-152.45975748697916","-152.45975748697916"
"1256","-152.47939453125","-152.47939453125","-152.47939453125"
"1260","-152.52251434326172","-152.52251434326172","-152.52251434326172"
"1261","-152.52689743041992","-152.52689743041992","-152.52689743041992"
"1262","-152.54986381530762","-152.54986381530762","-152.54986381530762"
"1263","-152.55414390563965","-152.55414390563965","-152.55414390563965"
"1265","-152.55406856536865","-152.55406856536865","-152.55406856536865"
"1266","-152.567307472229","-152.567307472229","-152.567307472229"
"1267","-152.5859251022339","-152.5859251022339","-152.5859251022339"
"1273","-152.65589635512407","-152.65589635512407","-152.65589635512407"
"1274","-152.6749007281135","-152.6749007281135","-152.6749007281135"
"1275","-152.68591936896829","-152.68591936896829","-152.68591936896829"
