"opt/step","C4H4-new-1-3.0-1-104613 - _step","C4H4-new-1-3.0-1-104613 - _step__MIN","C4H4-new-1-3.0-1-104613 - _step__MAX","C4H4-new-1-3.0-1-104613 - opt/E_smooth","C4H4-new-1-3.0-1-104613 - opt/E_smooth__MIN","C4H4-new-1-3.0-1-104613 - opt/E_smooth__MAX","C4H4-new-1-9.0-3-104613 - _step","C4H4-new-1-9.0-3-104613 - _step__MIN","C4H4-new-1-9.0-3-104613 - _step__MAX","C4H4-new-1-9.0-3-104613 - opt/E_smooth","C4H4-new-1-9.0-3-104613 - opt/E_smooth__MIN","C4H4-new-1-9.0-3-104613 - opt/E_smooth__MAX","C4H4-new-1-6.0-2-104613 - _step","C4H4-new-1-6.0-2-104613 - _step__MIN","C4H4-new-1-6.0-2-104613 - _step__MAX","C4H4-new-1-6.0-2-104613 - opt/E_smooth","C4H4-new-1-6.0-2-104613 - opt/E_smooth__MIN","C4H4-new-1-6.0-2-104613 - opt/E_smooth__MAX"
"45","1545","1545","1545","-149.64833068847656","-149.64833068847656","-149.64833068847656","1545","1545","1545","-150.08365631103516","-150.08365631103516","-150.08365631103516","1545","1545","1545","-149.25774765014648","-149.25774765014648","-149.25774765014648"
"46","1546","1546","1546","-149.71165084838867","-149.71165084838867","-149.71165084838867","1546","1546","1546","-150.07015228271484","-150.07015228271484","-150.07015228271484","1546","1546","1546","-149.26622772216797","-149.26622772216797","-149.26622772216797"
"47","1547","1547","1547","-149.72381973266602","-149.72381973266602","-149.72381973266602","1547","1547","1547","-150.14006423950195","-150.14006423950195","-150.14006423950195","1547","1547","1547","-149.29306030273438","-149.29306030273438","-149.29306030273438"
"48","1548","1548","1548","-149.8223876953125","-149.8223876953125","-149.8223876953125","1548","1548","1548","-150.2603988647461","-150.2603988647461","-150.2603988647461","1548","1548","1548","-149.3122100830078","-149.3122100830078","-149.3122100830078"
"49","1549","1549","1549","-149.8963394165039","-149.8963394165039","-149.8963394165039","1549","1549","1549","-150.2843360900879","-150.2843360900879","-150.2843360900879","1549","1549","1549","-149.3429183959961","-149.3429183959961","-149.3429183959961"
"50","1550","1550","1550","-149.926025390625","-149.926025390625","-149.926025390625","1550","1550","1550","-150.31020812988282","-150.31020812988282","-150.31020812988282","1550","1550","1550","-149.34819946289062","-149.34819946289062","-149.34819946289062"
"51","1551","1551","1551","-149.99240112304688","-149.99240112304688","-149.99240112304688","1551","1551","1551","-150.3550598144531","-150.3550598144531","-150.3550598144531","1551","1551","1551","-149.37433166503905","-149.37433166503905","-149.37433166503905"
"52","1552","1552","1552","-150.08358154296874","-150.08358154296874","-150.08358154296874","1552","1552","1552","-150.35653076171874","-150.35653076171874","-150.35653076171874","1552","1552","1552","-149.39501342773437","-149.39501342773437","-149.39501342773437"
"53","1553","1553","1553","-150.11500244140626","-150.11500244140626","-150.11500244140626","1553","1553","1553","-150.35726623535157","-150.35726623535157","-150.35726623535157","1553","1553","1553","-149.42813110351562","-149.42813110351562","-149.42813110351562"
"54","1554","1554","1554","-150.15636291503907","-150.15636291503907","-150.15636291503907","1554","1554","1554","-150.3728454589844","-150.3728454589844","-150.3728454589844","1554","1554","1554","-149.46485290527343","-149.46485290527343","-149.46485290527343"
