Molecule,16det,16det,1det,1det,baseline,baseline,nojastrow
State,singlet,triplet,singlet,triplet,singlet,triplet,singlet
opt/step,,,,,,,
14,-55.24664306640625,-55.494197845458984,-51.104026794433594,-51.836097717285156,-53.84153366088867,-51.93396759033203,-51.98553466796875
15,-55.32603454589844,-55.233680725097656,-51.66773223876953,-51.88629913330078,-54.440120697021484,-52.39519500732422,-52.577701568603516
16,-55.520484924316406,-55.472198486328125,-52.259849548339844,-52.12440490722656,-54.508506774902344,-52.808433532714844,-53.065765380859375
17,-55.63425827026367,-55.48002243041992,-51.93144226074219,-52.187137603759766,-54.64509201049805,-52.92399597167969,-53.00384521484375
18,-55.944759368896484,-55.342308044433594,-52.52569580078125,-52.6661376953125,-55.07721710205078,-53.371826171875,-53.66765594482422
19,-55.60984802246094,-55.74359130859375,-52.58834457397461,-52.65498352050781,-54.92301559448242,-53.43333053588867,-53.591796875
20,-55.70002746582031,-55.57009506225586,-53.106258392333984,-52.96929168701172,-55.180633544921875,-53.57484817504883,-53.625465393066406
21,-55.98426055908203,-55.841800689697266,-53.22797393798828,-53.19414138793945,-55.17090606689453,-53.83823776245117,-54.02696990966797
22,-56.19144058227539,-55.99736404418945,-53.47218704223633,-53.74244689941406,-55.28933334350586,-53.96181106567383,-54.185760498046875
23,-56.17991638183594,-55.96087646484375,-53.77207946777344,-53.77180480957031,-55.57068634033203,-54.229087829589844,-54.63182067871094
24,-56.54267883300781,-55.923065185546875,-53.931884765625,-53.76306915283203,-55.48994445800781,-54.39006042480469,-54.74665832519531
25,-56.37313461303711,-56.19773864746094,-54.153968811035156,-54.16815948486328,-55.628807067871094,-54.58269119262695,-54.88214111328125
26,-56.36714172363281,-56.200557708740234,-54.49297332763672,-54.43671417236328,-56.12608337402344,-54.49472427368164,-54.870826721191406
27,-56.66197204589844,-56.356407165527344,-54.39834213256836,-54.67156219482422,-56.17802429199219,-54.94581604003906,-55.29230499267578
28,-56.85517501831055,-56.599517822265625,-54.63692855834961,-54.62040328979492,-56.407432556152344,-55.00196075439453,-55.143798828125
29,-56.6944580078125,-56.814125061035156,-54.48054504394531,-54.82002258300781,-56.622737884521484,-55.29045486450195,-55.18290710449219
30,-56.944759368896484,-56.53257369995117,-54.88392639160156,-54.83080291748047,-56.550559997558594,-55.32705307006836,-55.361228942871094
31,-56.92824172973633,-57.016395568847656,-54.89033508300781,-55.17234802246094,-56.758296966552734,-55.224082946777344,-55.66625213623047
32,-56.8443717956543,-57.161041259765625,-55.330772399902344,-54.96642303466797,-56.81259536743164,-55.289371490478516,-55.60504150390625
