n_carbon,cutoff,batch_size,opt_batch_size,burnin/t_step,opt/t_step,model
28,3.0,128,8,0.5758505538105965,1.0812686830759048,FiRE
28,3.0,128,16,0.5770280733704567,1.0296125672757626,FiRE
28,3.0,128,32,0.5722769722342491,1.0332461148500443,FiRE
28,3.0,128,64,0.5710075497627258,0.9550451636314392,FiRE
28,3.0,256,8,0.9947144500911236,2.0880734771490097,FiRE
28,3.0,256,16,0.933652326464653,1.9029911682009697,FiRE
28,3.0,256,32,0.997875701636076,1.9008100628852844,FiRE
28,3.0,256,64,0.936355534940958,1.7745778933167458,FiRE
28,3.0,512,8,1.7426659986376762,3.9422727078199387,FiRE
28,3.0,512,16,1.6524351723492146,3.5732783786952496,FiRE
28,3.0,512,32,1.6459511034190655,3.5417449697852135,FiRE
28,3.0,512,64,1.7403444461524487,3.25667704641819,FiRE
29,3.0,128,8,0.598211295902729,1.1599726490676403,FiRE
29,3.0,128,16,0.5898504368960857,1.0911781340837479,FiRE
29,3.0,128,32,0.6272708401083946,1.0913142822682858,FiRE
29,3.0,128,64,0.5944107919931412,1.0298460386693478,FiRE
29,3.0,256,8,1.035589013248682,2.1504885368049145,FiRE
29,3.0,256,16,0.9893980175256729,1.9741104505956173,FiRE
29,3.0,256,32,1.0328637473285198,1.950689896941185,FiRE
29,3.0,256,64,0.9851685874164104,1.8345913290977478,FiRE
29,3.0,512,8,1.7272006794810295,4.038803141564131,FiRE
29,3.0,512,16,1.8118102364242077,3.784529760479927,FiRE
29,3.0,512,32,1.8131189048290253,3.6385096088051796,FiRE
29,3.0,512,64,1.8250648006796837,3.5520125441253185,FiRE
29,3.0,1024,8,3.404197331517935,7.921269457787275,FiRE
29,3.0,1024,16,3.4099437333643436,7.422218795865774,FiRE
29,3.0,1024,32,3.4385240003466606,7.225407857447863,FiRE
29,3.0,1024,64,3.4097351767122746,6.926793970167637,FiRE
29,4.0,128,4,0.6794055625796318,1.4620878733694553,FiRE
29,4.0,128,8,0.6745398119091988,1.319992519915104,FiRE
29,4.0,128,16,0.6761780008673668,1.2750524766743183,FiRE
29,4.0,128,32,0.6795718893408775,1.2438829131424427,FiRE
29,4.0,128,64,0.6803966909646988,1.18875190615654,FiRE
29,4.0,256,4,1.1142585314810276,2.668148495256901,FiRE
29,4.0,256,8,1.114182721823454,2.4019067622721195,FiRE
29,4.0,256,16,1.1258283033967018,2.2802432365715504,FiRE
29,4.0,256,32,1.1105999872088432,2.1791382990777493,FiRE
29,4.0,256,64,1.1167978309094906,2.1365973129868507,FiRE
29,4.0,512,4,1.970479678362608,5.11934420093894,FiRE
29,4.0,512,8,1.9746631756424904,4.597871534526348,FiRE
29,4.0,512,16,1.973395574837923,4.229312360286713,FiRE
29,4.0,512,32,1.9742333106696606,4.1075331419706345,FiRE
29,4.0,512,64,1.9925688244402409,4.004656732082367,FiRE
29,4.0,1024,4,3.690927352756262,10.029471769928932,FiRE
29,4.0,1024,8,3.7015514448285103,9.128908820450306,FiRE
29,4.0,1024,16,3.883429877460003,8.579495556652546,FiRE
29,4.0,1024,32,3.694022376090288,8.054810002446175,FiRE
29,4.0,1024,64,3.729093436151743,7.831822331994772,FiRE
29,5.0,128,4,0.7220510542392731,1.6034184470772743,FiRE
29,5.0,128,8,0.7213903069496155,1.4640559144318104,FiRE
29,5.0,256,4,1.198400802910328,2.9662221409380436,FiRE
