model,n_el,t_E_kin,t_update,t_total
Psiformer,120,9.076706686988473,0.025072472056490363,20.472224
Psiformer,132,14.009160593152046,0.03540294332487974,29.07752
Psiformer,140,15.973336689174175,0.03912095322448294,33.239328
Psiformer,156,20.539433438330885,0.04627747523772996,42.593264
Psiformer,168,24.79114467278123,0.05188402679923456,51.4016
Psiformer,184,32.62372127920389,0.060372521431418136,73.576128
Psiformer,200,39.2395453453064,0.06982897071284241,89.284992
Psiformer,216,47.83313161879778,0.07928009833121905,108.69584
Psiformer,236,63.82165107131004,0.0945371752124629,165.064256
Psiformer,256,90.6383461356163,0.10718113476905274,289.119872
Psiformer,276,119.53065997362135,0.1415200422561611,383.555456
Psiformer,300,147.37615233659744,0.16527075093181337,477.339008
Psiformer,328,209.63953334093094,0.1932024544614251,967.097088
Psiformer,356,261.4062039256096,0.2273364004751784,1260.016896
Psiformer,388,352.3067133426666,0.3010203551428276,1549.787904
Psiformer,400,380.7609976530075,0.3165158224728657,1625.926912
Psiformer,424,544.3806422948837,0.3563779523392441,3877.391872
Psiformer,460,699.629056096077,0.4205983153136913,5071.552
Psiformer,500,924.5539301633835,0.4846615572256269,6843.973632
