step,E_HC_Ha,E_HS_Ha,E_HFe_Ha,E_HFe2_Ha
233,-332.2558,-332.2459,-331.9964,-332.363
234,-332.4891,-332.1542,-331.9199,-332.2036
235,-332.2694,-332.1401,-331.9956,-332.3167
236,-332.4411,-332.4297,-332.1104,-332.206
237,-332.3528,-332.2103,-332.2514,-332.2791
238,-332.3973,-332.2671,-332.0725,-332.1363
239,-332.3999,-332.359,-332.2227,-332.2491
240,-332.3718,-332.3579,-332.1248,-332.3277
241,-332.2651,-332.4788,-332.0392,-332.207
242,-332.293,-332.346,-332.2263,-332.2385
243,-332.2303,-332.4379,-332.0655,-332.3225
244,-332.2073,-332.4074,-332.0734,-332.3376
245,-332.2419,-332.4728,-332.182,-332.4378
246,-332.2855,-332.5199,-332.1992,-332.5797
247,-332.3319,-332.4774,-332.0436,-332.4297
248,-332.4557,-332.5483,-332.1877,-332.3712
249,-332.4572,-332.429,-332.2593,-332.5139
250,-332.3172,-332.5732,-332.2707,-332.5037
251,-332.2572,-332.5511,-332.1349,-332.5787
252,-332.4679,-332.342,-332.2388,-332.5332
253,-332.2673,-332.3546,-332.1732,-332.6125
254,-332.3745,-332.5209,-332.4236,-332.6029
255,-332.563,-332.4278,-332.4801,-332.6253
256,-332.4043,-332.5484,-332.3314,-332.502
257,-332.3363,-332.6364,-332.0452,-332.7702
258,-332.3593,-332.5402,-332.1581,-332.6128
259,-332.3846,-332.63,-332.2315,-332.6461
260,-332.2725,-332.709,-332.0731,-332.4095
261,-332.3599,-332.5559,-331.7826,-332.6043
262,-332.1801,-332.58,-332.3231,-332.3796
263,-332.3932,-332.6578,-332.3078,-332.6736
264,-332.4944,-332.6621,-332.3257,-332.5704
265,-332.6072,-332.8577,-332.4662,-332.6119
266,-332.3864,-332.7304,-332.3374,-332.4409
267,-332.4531,-332.7531,-332.3847,-332.6638
268,-332.4568,-332.9221,-332.3172,-332.5834
269,-332.4316,-332.8587,-332.2028,-332.6666
270,-332.3755,-332.6087,-332.3327,-332.6886
271,-332.3893,-332.5665,-332.3995,-332.6508
272,-332.4453,-332.7701,-332.3413,-332.7086
273,-332.2632,-332.6941,-332.4226,-332.7766
274,-332.2502,-332.5963,-332.5814,-332.7444
275,-332.3291,-332.6423,-332.4621,-332.7469
276,-332.2906,-332.5948,-332.55,-332.7413
277,-332.4882,-332.6429,-332.56,-332.6303
278,-332.613,-332.6696,-332.6536,-332.6791
279,-332.6449,-332.8185,-332.6672,-332.7928
280,-332.6734,-332.8143,-332.5872,-332.7667
281,-332.6627,-332.701,-332.6178,-332.7625
282,-332.8088,-332.7959,-332.4239,-332.6994
283,-332.6978,-332.804,-332.5348,-332.7011
284,-333.0322,-332.6964,-332.4113,-332.6267
285,-332.8896,-332.9222,-332.5842,-332.6446
286,-332.7946,-332.8998,-332.6075,-332.7061
287,-332.7725,-332.9031,-332.6568,-332.6983
288,-332.779,-332.9027,-332.4979,-332.9252
289,-332.7882,-332.7499,-332.5999,-332.8112
290,-332.8102,-333.064,-332.4775,-332.7928
291,-332.714,-333.0652,-332.4774,-332.8295
292,-332.9594,-332.895,-332.7385,-332.7926
293,-332.521,-332.9358,-332.509,-332.8592
294,-332.5761,-332.9039,-332.6009,-332.5988
295,-332.7611,-332.9598,-332.4955,-332.6407
296,-333.0887,-332.9208,-332.8363,-332.5446
297,-332.58,-332.9418,-332.7523,-332.7657
298,-332.7831,-332.9047,-332.6829,-332.6286
299,-332.8267,-332.8352,-332.7474,-332.7302
300,-332.988,-332.7574,-332.902,-332.7872
301,-333.1352,-332.771,-332.8654,-332.8511
302,-332.9364,-332.8033,-332.7243,-332.8856
303,-333.0399,-332.9064,-332.8034,-332.8266
304,-332.859,-333.0374,-332.8651,-332.8199
305,-333.042,-332.9072,-332.8588,-332.6856
306,-332.9411,-332.9733,-332.7269,-333.0612
307,-332.8336,-332.9579,-332.9272,-332.927
308,-333.0149,-332.8298,-332.8206,-332.9049
309,-332.9554,-333.0024,-332.8918,-333.042
310,-332.9196,-332.9527,-332.8803,-333.0873
311,-333.1077,-332.9006,-332.5902,-333.016
312,-333.0618,-333.456,-332.7467,-332.9958
313,-333.0797,-332.9502,-332.6688,-333.0182
314,-332.9305,-332.9368,-332.871,-332.9421
315,-332.9982,-332.9824,-332.7483,-332.9156
316,-333.1589,-333.009,-332.8497,-332.907
317,-333.0283,-332.9095,-332.8705,-333.1074
318,-333.0797,-332.92,-332.8434,-333.0796
319,-332.959,-333.1668,-332.7223,-333.1315
320,-333.0272,-333.1534,-332.7467,-332.9495
321,-333.0718,-333.0743,-332.6751,-333.0714
322,-332.9913,-333.0146,-333.1711,-332.9858
323,-332.9329,-333.0181,-332.8492,-332.9507
324,-332.9206,-333.544,-332.8398,-332.9309
325,-332.9689,-332.6075,-332.7668,-332.7794
326,-332.9334,-333.0389,-332.7311,-332.9024
327,-332.9665,-333.1067,-332.6217,-333.0691
328,-333.1022,-332.904,-332.6718,-332.9516
329,-333.1537,-332.9579,-332.6961,-332.8786
330,-332.9457,-333.11,-332.7385,-333.0128
331,-332.9423,-332.693,-332.8516,-332.8976
332,-332.8025,-332.6744,-332.9411,-333.101
333,-332.8663,-332.9106,-332.8763,-333.0403
334,-332.9821,-333.1532,-332.9627,-333.0636
335,-333.0044,-333.0891,-332.9012,-333.1281
336,-332.8987,-333.1758,-332.9723,-332.9476
337,-333.079,-333.0975,-333.101,-332.9456
338,-333.0329,-333.1326,-332.9901,-333.0713
339,-333.0537,-333.1953,-332.7354,-333.2427
340,-333.1334,-333.0967,-332.8538,-333.1332
341,-332.89,-333.1586,-333.0021,-333.0736
342,-332.941,-333.1878,-333.087,-331.7362
343,-332.9468,-333.4248,-333.0108,-332.9941
344,-332.9786,-333.2401,-332.907,-333.1784
345,-332.8945,-333.2865,-332.7812,-333.2872
346,-332.9345,-333.2868,-332.8998,-333.3379
347,-332.875,-333.0357,-332.9766,-333.3437
348,-333.0551,-333.2651,-332.8809,-333.2226
349,-332.8554,-333.2042,-332.9619,-333.3527
350,-333.1056,-333.0157,-333.1077,-333.1784
351,-333.1971,-333.2083,-333.1512,-333.1986
352,-333.0695,-333.2412,-333.1062,-333.2023
353,-333.0603,-333.2487,-332.8964,-333.2413
354,-333.1194,-333.2498,-332.7852,-333.2036
355,-333.1848,-333.3088,-332.8709,-333.3036
356,-333.3425,-333.2728,-332.91,-333.2159
357,-333.2242,-333.3035,-333.0639,-333.1234
358,-333.2416,-333.4215,-332.9644,-333.4645
359,-333.4044,-333.4012,-332.9043,-333.2587
360,-333.3185,-333.3467,-333.1343,-333.1349
361,-333.3264,-333.3311,-332.9463,-333.1534
362,-333.3583,-333.2475,-333.0145,-333.2301
363,-333.1737,-333.314,-333.0651,-333.2909
364,-333.2248,-333.4965,-333.0712,-333.2751
365,-333.3677,-333.3011,-333.0974,-333.3467
366,-333.1607,-333.3456,-333.0916,-333.354
367,-333.3235,-333.4677,-333.1242,-333.3603
368,-333.1503,-333.2947,-333.0458,-333.331
369,-333.0648,-333.4671,-333.1366,-333.253
370,-333.195,-333.435,-333.0767,-333.3171
371,-333.3659,-333.4583,-333.0453,-333.3295
372,-333.3014,-333.4301,-333.0747,-333.3537
373,-333.3361,-333.3155,-333.0617,-333.3424
374,-333.3745,-333.4149,-333.02,-333.3401
375,-333.3423,-333.3248,-333.1215,-333.4527
376,-333.2847,-333.4372,-333.0874,-333.3579
377,-333.36,-333.3883,-333.0641,-333.3759
378,-333.3701,-333.4074,-333.3631,-333.396
379,-333.3027,-333.3438,-333.2009,-333.3473
380,-333.2661,-333.4217,-333.255,-333.3978
381,-333.3599,-333.3702,-333.2552,-333.4413
382,-333.2748,-333.5484,-333.1586,-333.4714
383,-333.1325,-333.4213,-333.1702,-333.2388
384,-333.1225,-333.4277,-333.2266,-333.2302
385,-333.1389,-333.5215,-333.1932,-333.4823
386,-333.2015,-333.5565,-333.0839,-333.3915
387,-333.2817,-333.5789,-333.2598,-333.2961
388,-333.1607,-333.6722,-333.341,-333.4106
389,-333.1166,-333.5076,-333.3822,-333.3181
390,-333.3396,-333.5031,-333.2822,-333.404
391,-333.2858,-333.328,-333.287,-333.348
392,-333.2225,-333.4638,-333.1715,-333.3683
393,-333.2374,-333.4874,-333.3112,-333.5331
394,-333.1386,-333.4933,-333.3231,-333.4908
395,-333.1748,-333.4966,-333.3664,-333.3383
396,-333.3376,-333.3979,-333.3804,-333.3373
397,-333.3357,-333.3036,-333.2901,-333.3427
398,-333.411,-333.3243,-333.2588,-333.3692
399,-333.4552,-333.2821,-333.3179,-333.3208
400,-333.3973,-333.3702,-333.3842,-333.0826
401,-333.2191,-333.2467,-333.3128,-333.428
402,-333.2688,-333.3098,-333.4398,-333.4338
403,-333.5156,-333.5318,-333.2466,-333.4235
404,-333.5351,-333.4987,-333.149,-333.4757
405,-333.4551,-333.514,-333.2436,-333.6328
406,-333.5658,-333.5694,-333.4045,-333.5841
407,-333.5164,-333.6144,-333.3691,-333.6541
408,-333.5596,-333.5452,-333.3224,-333.6379
409,-333.5656,-333.3066,-333.3435,-333.469
410,-333.6012,-333.4666,-333.3686,-333.6115
411,-333.457,-333.4203,-333.4089,-333.4894
412,-333.5093,-333.1896,-333.3936,-333.3664
413,-333.3273,-333.604,-333.3012,-333.4904
414,-333.5082,-333.494,-333.2269,-333.375
415,-333.2985,-333.4911,-333.2565,-333.5933
416,-333.5174,-333.6266,-333.3256,-333.4754
417,-333.5529,-333.4718,-333.2126,-333.4447
418,-333.4485,-333.5295,-333.2967,-333.5182
419,-333.3753,-333.5323,-333.3471,-333.634
420,-333.337,-333.6626,-333.3763,-333.5219
421,-333.4058,-333.4434,-333.3994,-333.6208
422,-333.3855,-333.5477,-333.4117,-333.5443
423,-333.4021,-333.4967,-333.4272,-333.5662
424,-333.5208,-333.5411,-333.4006,-333.5299
425,-333.5411,-333.6559,-333.5125,-333.6688
426,-333.5117,-333.6064,-333.3624,-333.4965
427,-333.4584,-333.5062,-333.333,-333.5735
428,-333.3965,-333.5275,-333.3574,-333.5611
429,-333.3665,-333.4807,-333.2793,-333.5833
430,-333.3905,-333.432,-333.3153,-333.56
431,-333.4146,-333.5686,-333.383,-333.5952
432,-333.413,-333.5813,-333.4622,-333.6142
433,-333.3946,-333.3771,-333.5013,-333.6106
434,-333.31,-333.598,-333.3487,-333.5642
435,-333.1779,-333.5476,-333.3192,-333.5957
436,-333.299,-333.5717,-333.4144,-333.6228
437,-333.2551,-333.6722,-333.7169,-333.6357
438,-333.3524,-333.681,-333.5002,-333.6653
439,-333.3752,-333.6921,-333.4767,-333.5686
440,-333.437,-333.668,-333.5201,-333.6779
441,-333.3885,-333.5798,-333.4858,-333.6553
442,-333.3968,-333.6148,-333.5165,-333.6335
443,-333.3365,-333.5783,-333.5038,-333.4875
444,-333.4448,-333.5265,-333.4323,-333.5067
445,-333.4419,-333.5969,-333.4552,-333.6357
446,-333.4751,-333.5099,-333.3763,-333.5986
447,-333.4548,-333.6031,-333.3802,-333.6199
448,-333.4193,-333.4241,-333.4531,-333.5866
449,-333.1492,-333.6275,-333.5903,-333.6799
450,-333.594,-333.6403,-333.4794,-333.617
451,-333.3542,-333.6377,-333.4225,-333.6826
452,-333.4623,-333.6455,-333.5494,-333.6359
453,-333.3908,-333.6807,-333.4721,-333.6155
454,-333.5272,-333.6202,-333.5267,-333.669
455,-333.509,-333.5921,-333.5365,-333.5668
456,-333.459,-333.5915,-333.5707,-333.4634
457,-333.4396,-333.6393,-333.4962,-333.5179
458,-333.5298,-333.717,-333.5248,-333.5985
459,-333.3909,-333.7253,-333.6015,-333.6521
460,-333.5789,-333.6364,-333.5204,-333.5294
461,-333.4446,-333.6932,-333.7119,-333.6945
462,-333.4835,-333.758,-333.4319,-333.6469
463,-333.6436,-333.725,-333.4489,-333.6894
464,-333.512,-333.8442,-333.6644,-333.6964
465,-333.5755,-333.7761,-333.543,-333.6896
466,-333.5568,-333.6414,-333.4586,-333.6358
467,-333.5779,-333.7978,-333.5636,-333.6084
468,-333.6465,-333.6511,-333.6597,-333.7067
469,-333.5835,-333.6457,-333.5807,-333.6027
470,-333.6437,-333.6932,-333.6634,-333.6703
471,-333.5843,-333.6189,-333.5847,-333.5229
472,-333.6597,-333.6822,-333.5052,-333.6661
473,-333.5667,-333.6049,-333.6133,-333.6391
474,-333.6887,-333.6631,-333.5774,-333.6707
475,-333.4999,-333.4887,-333.5021,-333.7453
476,-333.4217,-333.4537,-333.1997,-333.6963
477,-333.4428,-333.6956,-333.4038,-333.787
478,-333.4677,-333.574,-333.5832,-333.5613
479,-333.4571,-333.7164,-333.6141,-333.665
480,-333.643,-333.7309,-333.6703,-333.5647
481,-333.666,-333.8008,-333.6583,-333.6771
482,-333.6144,-333.8879,-333.5683,-333.7788
483,-333.9147,-333.7271,-333.6743,-333.7468
484,-333.7432,-333.7917,-333.5457,-333.6914
485,-333.6964,-333.8242,-333.6552,-333.8269
486,-333.7494,-333.8452,-333.645,-333.7452
487,-333.9148,-333.8725,-333.6517,-333.6228
488,-333.7194,-333.9041,-333.5927,-333.6308
489,-333.6823,-333.8692,-333.6459,-333.6605
490,-333.7675,-333.884,-333.7564,-333.6901
491,-333.6506,-333.7486,-333.6337,-333.6928
492,-333.7031,-333.7077,-333.6581,-333.5042
493,-333.6354,-333.7583,-333.7693,-333.7115
494,-333.7628,-333.7484,-333.7367,-333.4788
495,-333.6525,-333.8652,-333.6777,-333.6109
496,-333.8589,-333.9522,-333.626,-333.6012
497,-333.9502,-333.8228,-333.6083,-333.5815
498,-333.5847,-333.695,-333.5836,-333.6264
499,-333.7489,-333.7761,-333.4381,-333.6619
500,-333.9623,-333.7498,-333.6337,-333.4689
501,-333.97,-333.7208,-333.6368,-333.6779
502,-333.9903,-333.6884,-333.7374,-333.8268
503,-333.9963,-333.8318,-333.6987,-333.8401
504,-333.9501,-333.6636,-333.7068,-333.9482
505,-333.8815,-333.8291,-333.624,-333.8714
506,-333.7509,-333.8105,-333.7314,-333.8862
507,-333.7391,-333.8594,-333.7231,-333.7011
508,-333.7511,-333.9274,-333.7184,-333.8564
509,-333.7187,-333.8951,-333.6729,-333.8509
510,-333.7227,-333.9349,-333.6575,-333.8191
511,-333.8853,-333.9254,-333.6508,-333.8513
512,-333.7808,-333.8112,-333.5455,-333.8493
513,-333.6671,-333.8357,-333.618,-333.77
514,-333.756,-333.7191,-333.6711,-333.8438
515,-333.6695,-333.7372,-333.6764,-333.8135
516,-333.8168,-333.8811,-333.6601,-333.9576
517,-333.9158,-333.6161,-333.5869,-333.8725
