jastrow,n_carbon,angle,cutoff,steps,E,E_std,t
no,2,0,3.0,16200,-78.58195338390551,0.3005603104829788,0.5277606230229139
no,2,0,3.0,16400,-78.58216899655496,0.2575237766692513,0.5324785220436752
no,2,0,3.0,16600,-78.58201321641131,0.26221547942412526,0.5287813451141119
no,2,0,3.0,16800,-78.5820162345544,0.27548112132047353,0.526160504668951
no,2,0,3.0,17000,-78.5820464833748,0.28576364407413885,0.5267071169801056
no,2,0,3.0,17200,-78.58190325042048,0.2520727797558433,0.5329267834313214
no,2,0,3.0,17400,-78.58136563946883,0.2562571458126369,0.5254219411872327
no,2,0,3.0,17600,-78.58120213705315,0.26630213464561264,0.5300578218884766
no,2,0,3.0,17800,-78.58112229030034,0.26802706718444824,0.5302637619897723
no,2,0,3.0,18000,-78.58107641466455,0.26922082901000977,0.5263349250890315
no,2,0,3.0,18200,-78.58077360215874,0.25048373561156423,0.5303736180067062
no,2,0,3.0,18400,-78.5809061580101,0.2671250104904175,0.5283014201559126
no,2,0,3.0,18600,-78.58070952596535,0.24755874433015523,0.5238322881050408
no,2,0,3.0,18800,-78.58103146431925,0.25831694351999385,0.5279783788137138
no,2,0,3.0,19000,-78.58116517554181,0.24443312146161733,0.524907595012337
no,2,0,3.0,19200,-78.58111702662517,0.2873985124261756,0.5300194146111608
no,2,0,3.0,19400,-78.58127743598293,0.26397651669226196,0.5299277743324637
no,2,0,3.0,19600,-78.58131858258923,0.3176159701849285,0.5293877758085728
no,2,0,3.0,19800,-78.58136416192328,0.26937493289771836,0.5260090711526573
no,2,0,5.0,0,-77.09379653930664,5.1175285339355465,0.5264846358913928
no,2,0,5.0,200,-78.27231673137634,1.6403732989963733,0.5263390499167144
no,2,0,5.0,400,-78.48428517520509,0.8149405592366269,0.5277243028394878
no,2,0,5.0,600,-78.52579136830585,0.6950732375446119,0.5276899761520326
no,2,0,5.0,800,-78.56051553164538,0.4750263518408725,0.5289026610553265
no,2,0,5.0,1000,-78.56797558895518,0.4261224301237809,0.5295919827185571
no,2,0,5.0,1200,-78.5741193501977,0.380839876438442,0.5290389559231699
no,2,0,5.0,1400,-78.5754773173433,0.35880136803576823,0.5288094216957688
no,2,0,5.0,1600,-78.57585251837209,0.3475964712469201,0.5283457362093031
no,2,0,5.0,1800,-78.57840704937382,0.30603571785123723,0.5281547689810395
no,2,0,5.0,2000,-78.58108328837687,0.30552807058158676,0.5285076699219644
no,2,0,5.0,2200,-78.58314100843363,0.29922328497234146,0.5278643686324358
no,2,0,5.0,2400,-78.58411065229521,0.3031444282908189,0.5274480632506311
no,2,0,5.0,2600,-78.58275597013164,0.2939257762934032,0.5272270808927715
