n_carbon,angle,cutoff,model,jastrow,experiment,steps,E,E_std
4,90,3.0,new_sparse,none,jastrow,9200,-154.62119472237495,0.6795635537097329
4,90,3.0,new_sparse,none,jastrow,9300,-154.62156426947902,0.6800851382707295
4,90,3.0,new_sparse,none,jastrow,9400,-154.62192106874326,0.6639399873582941
4,90,3.0,new_sparse,none,jastrow,9500,-154.62175913425375,0.673923279109754
4,90,3.0,new_sparse,none,jastrow,9600,-154.6214535964904,0.6805892178886815
4,90,3.0,new_sparse,none,jastrow,9700,-154.62170333521604,0.6587661159665961
4,90,3.0,new_sparse,none,jastrow,9800,-154.62249661797279,0.665263897494266
4,90,3.0,new_sparse,none,jastrow,9900,-154.62279874400895,0.6631057136937192
4,90,3.0,new_sparse,none,jastrow,10000,-154.62288937629788,0.6704046538001612
4,90,3.0,new_sparse,none,jastrow,10100,-154.6226009240994,0.6811975774012113
4,90,3.0,new_sparse,none,jastrow,10200,-154.62274091697577,0.6716534840433221
4,90,3.0,new_sparse,none,jastrow,10300,-154.62267331071016,0.6907609073739303
4,90,3.0,new_sparse,none,jastrow,10400,-154.6227269445144,0.6659864249982332
4,90,3.0,new_sparse,none,jastrow,10500,-154.62313306642153,0.689815524377321
4,90,3.0,new_sparse,none,jastrow,10600,-154.6238078744228,0.6736169331952145
4,90,3.0,new_sparse,none,jastrow,10700,-154.62379298415505,0.7011679912868299
4,90,3.0,new_sparse,none,jastrow,10800,-154.6241864316873,0.6693902862699408
4,90,3.0,new_sparse,none,jastrow,10900,-154.62395058329233,0.6678157040947362
4,90,3.0,new_sparse,none,jastrow,11000,-154.62381935681276,0.6720274122137773
4,90,3.0,new_sparse,none,jastrow,11100,-154.6238223941955,0.6730345048402485
4,90,3.0,new_sparse,none,jastrow,11200,-154.62369458849216,0.6740261253557707
4,90,3.0,new_sparse,none,jastrow,11300,-154.62399449276884,0.6691545687223736
4,90,3.0,new_sparse,none,jastrow,11400,-154.62370314996198,0.6660790757129067
4,90,3.0,new_sparse,none,jastrow,11500,-154.62338727202174,0.6726326001317877
4,90,3.0,new_sparse,none,jastrow,11600,-154.6233202292611,0.7509008865607413
